iter	Passed	Remaining
0	134	134407
1	136	68110
2	138	45980
3	140	34907
4	142	28448
5	147	24478
6	150	21415
7	155	19285
8	158	17461
9	162	16045
10	163	14739
11	165	13654
12	167	12738
13	169	11970
14	171	11292
15	173	10693
16	175	10160
17	177	9685
18	179	9258
19	181	8879
20	185	8666
21	187	8349
22	189	8054
23	191	7787
24	193	7538
25	195	7306
26	200	7230
27	203	7062
28	205	6879
29	207	6702
30	209	6545
31	211	6391
32	216	6329
33	217	6193
34	219	6059
35	221	5934
36	223	5815
37	225	5710
38	230	5683
39	232	5581
40	234	5483
41	236	5389
42	238	5299
43	240	5215
44	250	5309
45	253	5260
46	264	5370
47	266	5289
48	268	5214
49	270	5140
50	272	5071
51	278	5075
52	281	5024
53	283	4963
54	285	4903
55	287	4842
56	289	4786
57	293	4771
58	295	4718
59	297	4663
60	299	4613
61	301	4562
62	304	4522
63	307	4490
64	309	4448
65	311	4403
66	312	4358
67	314	4314
68	316	4270
69	325	4328
70	329	4315
71	331	4277
72	333	4236
73	340	4254
74	342	4228
75	344	4190
76	346	4153
77	348	4117
78	353	4116
79	354	4081
80	356	4046
81	358	4016
82	359	3975
83	362	3950
84	369	3977
85	372	3958
86	375	3938
87	378	3922
88	385	3948
89	388	3927
90	391	3908
91	394	3897
92	398	3885
93	401	3869
94	404	3850
95	415	3913
96	420	3910
97	422	3888
98	431	3930
99	433	3903
100	435	3876
101	437	3850
102	441	3848
103	444	3825
104	445	3800
105	447	3776
106	450	3756
107	451	3731
108	453	3707
109	460	3725
110	462	3707
111	465	3689
112	467	3670
113	469	3647
114	474	3649
115	476	3627
116	485	3660
117	489	3661
118	491	3640
119	493	3619
120	500	3636
121	502	3616
122	504	3597
123	506	3578
124	508	3558
125	513	3560
126	515	3544
127	520	3544
128	523	3533
129	528	3538
130	532	3530
131	534	3512
132	535	3493
133	538	3477
134	544	3488
135	547	3478
136	550	3470
137	552	3452
138	558	3460
139	560	3442
140	562	3425
141	563	3404
142	565	3387
143	567	3372
144	570	3361
145	572	3348
146	574	3332
147	576	3317
148	578	3301
149	579	3286
150	581	3271
151	588	3282
152	591	3271
153	593	3258
154	594	3243
155	596	3229
156	603	3238
157	604	3223
158	607	3210
159	609	3197
160	610	3179
161	612	3166
162	615	3163
163	618	3155
164	623	3154
165	625	3142
166	627	3129
167	632	3134
168	635	3125
169	638	3118
170	640	3106
171	642	3092
172	647	3097
173	650	3087
174	652	3074
175	654	3062
176	655	3049
177	657	3038
178	661	3033
179	663	3023
180	665	3011
181	667	3000
182	669	2987
183	671	2975
184	672	2963
185	680	2978
186	682	2969
187	685	2959
188	687	2948
189	688	2936
190	694	2943
191	696	2932
192	718	3002
193	721	2997
194	729	3012
195	732	3003
196	734	2993
197	736	2982
198	741	2986
199	743	2974
200	745	2963
201	747	2952
202	749	2942
203	751	2931
204	757	2936
205	759	2925
206	760	2915
207	762	2904
208	764	2893
209	766	2883
210	773	2891
211	776	2884
212	778	2875
213	780	2865
214	782	2855
215	787	2859
216	790	2853
217	793	2847
218	796	2841
219	805	2855
220	808	2850
221	810	2842
222	813	2832
223	823	2851
224	827	2849
225	829	2840
226	835	2845
227	838	2837
228	840	2831
229	842	2821
230	844	2812
231	849	2813
232	851	2804
233	853	2795
234	855	2785
235	858	2780
236	868	2794
237	871	2788
238	874	2786
239	883	2798
240	885	2789
241	889	2785
242	891	2778
243	894	2770
244	898	2768
245	900	2760
246	902	2751
247	904	2741
248	906	2732
249	907	2723
250	918	2740
251	921	2735
252	923	2726
253	925	2718
254	932	2724
255	953	2771
256	955	2762
257	962	2768
258	965	2762
259	969	2759
260	971	2751
261	977	2754
262	980	2746
263	982	2738
264	984	2730
265	986	2722
266	989	2716
267	993	2713
268	995	2706
269	997	2697
270	999	2688
271	1001	2680
272	1003	2671
273	1013	2684
274	1015	2676
275	1017	2668
276	1019	2661
277	1024	2661
278	1028	2657
279	1030	2650
280	1032	2642
281	1039	2645
282	1042	2640
283	1044	2633
284	1046	2625
285	1048	2617
286	1056	2625
287	1059	2619
288	1061	2611
289	1063	2603
290	1065	2595
291	1071	2597
292	1073	2589
293	1074	2581
294	1076	2573
295	1078	2565
296	1084	2566
297	1086	2560
298	1088	2552
299	1090	2544
300	1092	2536
301	1094	2528
302	1099	2529
303	1102	2523
304	1104	2517
305	1107	2510
306	1108	2502
307	1110	2495
308	1116	2497
309	1118	2489
310	1120	2481
311	1121	2474
312	1123	2466
313	1125	2459
314	1130	2457
315	1133	2452
316	1136	2449
317	1138	2442
318	1140	2435
319	1147	2437
320	1149	2431
321	1152	2426
322	1154	2419
323	1156	2412
324	1158	2405
325	1163	2405
326	1165	2398
327	1183	2424
328	1185	2417
329	1187	2410
330	1188	2403
331	1195	2404
332	1197	2398
333	1200	2394
334	1202	2387
335	1204	2379
336	1236	2433
337	1244	2436
338	1247	2431
339	1249	2424
340	1251	2418
341	1253	2411
342	1258	2411
343	1260	2403
344	1262	2397
345	1264	2390
346	1266	2383
347	1268	2376
348	1274	2376
349	1276	2370
350	1278	2363
351	1281	2358
352	1283	2352
353	1288	2351
354	1290	2344
355	1292	2338
356	1294	2331
357	1296	2325
358	1298	2318
359	1303	2317
360	1305	2310
361	1307	2304
362	1309	2298
363	1311	2292
364	1313	2285
365	1318	2284
366	1321	2279
367	1325	2276
368	1327	2269
369	1329	2263
370	1335	2264
371	1337	2258
372	1339	2252
373	1341	2245
374	1343	2239
375	1345	2232
376	1350	2232
377	1352	2226
378	1354	2219
379	1356	2213
380	1358	2207
381	1360	2201
382	1366	2200
383	1369	2197
384	1371	2191
385	1373	2184
386	1375	2178
387	1379	2176
388	1382	2171
389	1384	2164
390	1386	2158
391	1387	2152
392	1389	2146
393	1391	2140
394	1396	2138
395	1398	2132
396	1400	2126
397	1402	2120
398	1404	2115
399	1405	2108
400	1426	2131
401	1429	2126
402	1432	2122
403	1435	2117
404	1436	2110
405	1438	2104
406	1445	2106
407	1447	2100
408	1449	2094
409	1451	2088
410	1453	2082
411	1459	2082
412	1461	2076
413	1462	2070
414	1464	2064
415	1466	2058
416	1468	2052
417	1472	2050
418	1474	2044
419	1476	2038
420	1478	2033
421	1480	2027
422	1481	2021
423	1483	2015
424	1486	2011
425	1488	2005
426	1490	1999
427	1492	1994
428	1494	1988
429	1495	1982
430	1497	1977
431	1503	1976
432	1505	1971
433	1507	1965
434	1508	1959
435	1510	1954
436	1512	1948
437	1516	1945
438	1519	1941
439	1522	1937
440	1524	1932
441	1526	1927
442	1528	1921
443	1535	1922
444	1537	1917
445	1539	1911
446	1541	1906
447	1543	1901
448	1548	1900
449	1550	1895
450	1552	1889
451	1554	1884
452	1556	1879
453	1558	1874
454	1563	1873
455	1565	1867
456	1567	1862
457	1569	1857
458	1571	1852
459	1573	1846
460	1578	1845
461	1580	1840
462	1582	1835
463	1584	1830
464	1586	1825
465	1588	1820
466	1590	1815
467	1592	1810
468	1594	1805
469	1597	1801
470	1599	1796
471	1615	1807
472	1618	1802
473	1624	1802
474	1627	1798
475	1630	1794
476	1632	1790
477	1634	1784
478	1656	1801
479	1658	1796
480	1660	1792
481	1662	1786
482	1664	1781
483	1666	1776
484	1671	1774
485	1673	1769
486	1675	1764
487	1676	1759
488	1679	1754
489	1681	1749
490	1685	1747
491	1687	1742
492	1689	1737
493	1691	1732
494	1693	1727
495	1695	1722
496	1697	1718
497	1704	1717
498	1708	1715
499	1710	1710
500	1712	1705
501	1719	1705
502	1721	1701
503	1723	1696
504	1725	1691
505	1727	1686
506	1728	1681
507	1734	1679
508	1736	1674
509	1737	1669
510	1739	1664
511	1741	1659
512	1743	1655
513	1748	1653
514	1750	1648
515	1752	1643
516	1754	1638
517	1757	1635
518	1759	1630
519	1764	1628
520	1766	1623
521	1767	1618
522	1769	1614
523	1771	1609
524	1773	1604
525	1778	1602
526	1780	1598
527	1782	1593
528	1784	1588
529	1786	1583
530	1787	1579
531	1789	1574
532	1795	1573
533	1797	1568
534	1799	1564
535	1801	1559
536	1803	1554
537	1805	1550
538	1809	1547
539	1812	1543
540	1815	1540
541	1817	1536
542	1819	1531
543	1821	1527
544	1825	1523
545	1827	1519
546	1828	1514
547	1830	1510
548	1832	1505
549	1838	1504
550	1840	1499
551	1842	1495
552	1844	1490
553	1845	1486
554	1847	1481
555	1849	1477
556	1853	1474
557	1855	1469
558	1857	1465
559	1859	1460
560	1861	1456
561	1863	1451
562	1868	1450
563	1870	1446
564	1872	1441
565	1874	1436
566	1875	1432
567	1877	1428
568	1889	1431
569	1897	1431
570	1901	1428
571	1903	1424
572	1905	1420
573	1911	1418
574	1914	1414
575	1916	1410
576	1917	1406
577	1919	1401
578	1921	1397
579	1927	1395
580	1929	1391
581	1931	1386
582	1932	1382
583	1934	1378
584	1936	1373
585	1941	1371
586	1943	1367
587	1944	1362
588	1946	1358
589	1948	1354
590	1950	1349
591	1952	1345
592	1958	1344
593	1960	1339
594	1961	1335
595	1963	1331
596	1965	1326
597	1967	1322
598	1972	1320
599	1974	1316
600	1976	1312
601	1978	1308
602	1980	1303
603	1982	1299
604	1987	1297
605	1989	1293
606	1991	1289
607	1994	1285
608	1997	1282
609	2013	1287
610	2015	1283
611	2021	1281
612	2024	1278
613	2026	1273
614	2028	1269
615	2030	1265
616	2034	1263
617	2036	1258
618	2038	1254
619	2040	1250
620	2042	1246
621	2044	1242
622	2046	1238
623	2051	1236
624	2053	1232
625	2055	1228
626	2057	1223
627	2059	1219
628	2061	1215
629	2066	1213
630	2067	1209
631	2069	1205
632	2071	1201
633	2073	1197
634	2075	1193
635	2080	1190
636	2082	1186
637	2084	1182
638	2086	1178
639	2088	1174
640	2089	1170
641	2092	1166
642	2099	1165
643	2103	1162
644	2105	1158
645	2107	1154
646	2133	1163
647	2135	1160
648	2138	1156
649	2146	1156
650	2149	1152
651	2151	1148
652	2153	1144
653	2155	1140
654	2160	1138
655	2162	1134
656	2164	1130
657	2166	1126
658	2168	1122
659	2170	1118
660	2175	1115
661	2177	1111
662	2179	1107
663	2181	1103
664	2183	1099
665	2185	1095
666	2192	1094
667	2194	1090
668	2196	1086
669	2200	1083
670	2202	1079
671	2206	1077
672	2211	1074
673	2213	1070
674	2215	1066
675	2217	1063
676	2223	1060
677	2225	1057
678	2227	1053
679	2229	1049
680	2231	1045
681	2236	1043
682	2239	1039
683	2241	1035
684	2243	1031
685	2245	1027
686	2247	1024
687	2250	1020
688	2251	1016
689	2253	1012
690	2255	1008
691	2257	1004
692	2259	1000
693	2264	998
694	2266	994
695	2268	990
696	2269	986
697	2271	982
698	2273	979
699	2275	975
700	2278	971
701	2280	968
702	2282	964
703	2284	960
704	2286	956
705	2290	953
706	2293	950
707	2298	947
708	2299	943
709	2301	940
710	2304	936
711	2307	933
712	2309	929
713	2311	925
714	2313	922
715	2314	918
716	2320	915
717	2322	912
718	2324	908
719	2326	904
720	2328	901
721	2330	897
722	2335	894
723	2354	897
724	2356	893
725	2358	890
726	2360	886
727	2361	882
728	2368	880
729	2370	876
730	2372	873
731	2375	869
732	2378	866
733	2387	865
734	2389	861
735	2392	858
736	2394	854
737	2398	851
738	2401	848
739	2405	845
740	2407	841
741	2408	837
742	2414	835
743	2417	831
744	2419	828
